name;category;city;address;phone;email;instagram;facebook;website;postal_code;area
A Beauty Minimalist;Eyelash Service, Permanent Makeup, Tattoo Removal, Eyebrow Services, Beauty & Spas, Health & Medical;Vancouver;329-550 West Broadway;(778) 895-9116;'vanbeautyminimalist@gmail.com';'https://www.instagram.com/browsbycannie/';'https://www.facebook.com/vanbeautyminimalist/';http://www.beautyminimalist.com;V6B 2T4;Fairview Slopes
A Smile Above;Teeth Whitening, Health & Medical;Vancouver;451 Bute Street;(604) 688-4422;;'https://www.instagram.com/p/CgfQoxQv6A0/', 'https://www.instagram.com/asmileabove/', 'https://www.instagram.com/p/CgajVOQJQ4S/', 'https://www.instagram.com/p/Cg4nW3Ar7uw/', 'https://www.instagram.com/p/CfuJ7ePpOFQ/', 'https://www.instagram.com/p/CfprtHSpeEi/';;https://www.asmileabove.ca;V6E 4P9;Downtown, Coal Harbour
ABAN Yaletown Dental;Teeth Whitening, Health & Medical;Vancouver;1208 Homer Street;(604) 688-4400;'info@abandental.com';'https://www.instagram.com/abanyaletowndental/';'https://www.facebook.com/abandental', 'https://www.facebook.com/abandental/';https://www.abandental.com;V6B 2Y5;Yaletown, Downtown
Abantu Beauty Products;Wigs, Cosmetics & Beauty Supply, Beauty & Spas;Vancouver;3596 Kingsway;(604) 431-8008;'info@abantu.com';'https://www.instagram.com/Abantuhair/';'https://www.facebook.com/AbantuHair';http://www.abantu.com;V5R 5L7;Killarney
Abba Dental;Health & Medical;Vancouver;1160 Burrard St;(604) 688-7201;'abbadental@shaw.ca';'https://www.instagram.com/abbadentalcentre/';'https://www.facebook.com/Abba-Dental-102711198145350';https://www.abbadental.ca;V6Z 2E8;Downtown
Abby Medical Laser Centre;Medical Spas;Abbotsford;2309 McCallum Road;(604) 557-1208;'info@abbymedicallaser.com';'https://www.instagram.com/abbymedicallaser/';'https://www.facebook.com/AbbyMedicalLaserCentre/';http://abbymedicallaser.com;V2S 3N7;Abbotsford
Able Wellness Centre;Day Spas, Massage Therapy, Health & Medical;Burnaby;3995 E Hastings St;(604) 416-7788;;'http://instagram.com/ablewellness_centre';'https://www.facebook.com/profile.php?id=100092489651886';https://www.ablewellness.ca;V5C 2H8;Burnaby Heights
Absolute PhysioCare & Sports Rehab;Massage Therapy, Health & Medical;Burnaby;3433 N Road;(604) 558-2273;'info@absolutephysiocare.com';'https://www.instagram.com/absolutephysiocare/';'https://www.facebook.com/125406617555956';http://burnabyphysiocare.com;V3J 0A9;Burnaby
Absolute Spa-  Fairmont Vancouver Airport;Massage, Day Spas, Nail Salons, Skin Care, Beauty & Spas, Waxing;Richmond;3111 Grant McConachie Way;(604) 684-2772;;'https://www.instagram.com/absolute.spa/', 'https://www.instagram.com/absolutespagroup/';'https://www.facebook.com/AbsoluteSpa';http://www.absolutespa.com/fairmont-vancouver-airport/;V7B 1X9;YVR
Absolute Spa at Fairmont Hotel Vancouver;Aestheticians, Massage, Skin Care, Waxing, Massage Therapy, Nail Salons, Day Spas, Beauty & Spas;Vancouver;900 W Georgia;(604) 684-2772;;'https://www.instagram.com/absolute.spa/', 'https://www.instagram.com/absolutespagroup/';'https://www.facebook.com/AbsoluteSpa';http://www.absolutespa.com/fairmont-hotel-vancouver/?utm_source=YELP&utm_medium=CPC&utm_campaign=Yelp%202018;V6C 2W6;Downtown
